binary_variable,tree_count,total_binary_variables
yr <= 0.5,11,53
hr <= 6.5,10,53
hr <= 5.5,10,53
hr <= 0.5,7,53
workingday <= 0.5,5,53
hr <= 22.5,3,53
hr <= 21.5,3,53
temp <= 0.45000000298023224,2,53
hr <= 20.5,2,53
temp <= 0.4699999988079071,2,53
temp <= 0.3100000023841858,2,53
hr <= 19.5,2,53
season <= 1.5,2,53
temp <= 0.3700000047683716,1,53
atemp <= 0.3409000039100647,1,53
hum <= 0.8050000071525574,1,53
hum <= 0.8149999976158142,1,53
atemp <= 0.31059999763965607,1,53
weathersit <= 2.5,1,53
season <= 2.5,1,53
temp <= 0.4299999922513962,1,53
hum <= 0.7450000047683716,1,53
