binary_variable,tree_count,total_binary_variables
word_freq_remove <= 0.05999999865889549,5,278
char_freq_! <= 0.079500000923872,5,278
word_freq_remove <= 0.044999999925494194,4,278
word_freq_hp <= 0.38499999046325684,3,278
word_freq_george <= 0.019999999552965164,3,278
word_freq_hp <= 0.39000000059604645,3,278
word_freq_george <= 0.02500000037252903,3,278
word_freq_money <= 0.009999999776482582,3,278
char_freq_$ <= 0.05550000071525574,2,278
word_freq_edu <= 0.48999999463558197,2,278
word_freq_remove <= 0.054999999701976776,2,278
word_freq_free <= 0.10500000044703484,2,278
word_freq_george <= 0.03999999910593033,2,278
word_freq_free <= 0.2149999961256981,2,278
word_freq_your <= 0.375,2,278
char_freq_$ <= 0.02949999924749136,2,278
word_freq_hp <= 0.2199999988079071,2,278
word_freq_remove <= 0.009999999776482582,1,278
char_freq_! <= 0.5065000057220459,1,278
char_freq_$ <= 0.04450000077486038,1,278
word_freq_edu <= 0.19999999552965164,1,278
word_freq_george <= 0.14000000059604645,1,278
char_freq_! <= 0.5084999799728394,1,278
capital_run_length_longest <= 17.5,1,278
word_freq_email <= 0.35500000417232513,1,278
capital_run_length_average <= 2.399500012397766,1,278
char_freq_$ <= 0.164000004529953,1,278
word_freq_hp <= 0.22999999672174454,1,278
char_freq_! <= 0.534500002861023,1,278
word_freq_edu <= 0.17999999597668648,1,278
capital_run_length_average <= 2.291999936103821,1,278
word_freq_your <= 0.6050000190734863,1,278
capital_run_length_total <= 68.5,1,278
word_freq_free <= 0.6299999952316284,1,278
word_freq_edu <= 0.17499999701976776,1,278
word_freq_free <= 0.11499999836087227,1,278
word_freq_1999 <= 0.06499999947845936,1,278
capital_run_length_average <= 2.7545000314712524,1,278
word_freq_meeting <= 0.47999998927116394,1,278
char_freq_$ <= 0.08050000295042992,1,278
